id;nom;cree_le;cree_par;modifie_le;modifie_par
1;connecting;2020-05-12;Extension Unbranded Granite Pizza;2020-05-11;National Nepalese Rupee Yuan Renminbi
2;solutions;2020-05-12;Supervisor capacitor;2020-05-12;Sleek Cotton Bike microchip
3;silver;2020-05-11;incentivize;2020-05-12;open architecture generating
4;help-desk;2020-05-11;haptic IB vortals;2020-05-12;orange Djibouti scalable
5;orange systematic capability;2020-05-12;North Dakota Ohio;2020-05-12;Assurance Sleek IB
6;ADP;2020-05-11;Executive;2020-05-12;Metrics Fantastic index
7;Tuna;2020-05-12;networks;2020-05-12;Graphical User Interface Internal Central
8;Clothing Finland;2020-05-11;Corporate;2020-05-11;Auto Loan Account reciprocal scale
9;IB;2020-05-12;Street Ergonomic;2020-05-12;back-end monitor dot-com
10;Liaison Frozen;2020-05-12;Lek;2020-05-12;synthesize Organic panel
