id;categorie_client;interval_valeur;frais;cree_le;cree_par;modifie_le;modifie_par
1;Gold;79169;34726;2020-05-11;Brunei Dollar;2020-05-12;Chips
2;Platinium;92581;11340;2020-05-12;Ireland;2020-05-12;Licensed driver
3;Gold;81091;32857;2020-05-12;HDD;2020-05-12;Checking Account Developer
4;Platinium;5154;82527;2020-05-11;Chicken Group Handmade Fresh Hat;2020-05-11;wireless Cambridgeshire SCSI
5;Platinium;69746;40577;2020-05-12;invoice;2020-05-12;rich Ethiopian Birr eco-centric
6;Silver;82092;49769;2020-05-12;generating Bolivia Credit Card Account;2020-05-11;Licensed
7;Gold;67815;63158;2020-05-12;Oregon Intuitive back up;2020-05-11;Iranian Rial Garden
8;Gold;23596;99789;2020-05-12;Refined EXE Inlet;2020-05-11;Data
9;Platinium;90077;28529;2020-05-12;pixel;2020-05-12;benchmark solutions
10;Gold;15991;82269;2020-05-12;capacitor Unbranded Frozen Shoes Handcrafted;2020-05-11;Credit Card Account
