id;gouvernorat;ville;localite;code_postal;zone;modifie_le;modifie_par
1;granular Berkshire plum;e-markets Factors;Avon Consultant;51229;Switzerland blue;2020-05-12;invoice
2;Kwanza;Virtual;input Gorgeous Frozen;49559;National;2020-05-11;firewall
3;THX neural;Shoes navigate port;yellow Port olive;49250;Won Checking Account Operative;2020-05-12;Program intranet
4;Human cross-platform;XSS visualize;homogeneous innovate;95034;portals driver Nebraska;2020-05-12;withdrawal THX Creek
5;web services;systematic scalable Frozen;mission-critical;36376;Tasty Corner Director;2020-05-12;Checking Account Developer
6;Representative deposit non-volatile;connect Path;Rubber standardization Pants;25256;optical Officer;2020-05-12;Loaf Human Zambian Kwacha
7;Investment Account Web;Oval Trail Direct;Berkshire action-items;85689;customized;2020-05-11;program
8;Cotton Pants;Turks and Caicos Islands Denmark ivory;Clothing Soft;34748;syndicate Chicken;2020-05-11;Granite
9;even-keeled;wireless Argentine Peso;Consultant;30003;driver B2C;2020-05-11;parsing Customizable
10;Tasty Cotton Towels Savings Account;discrete 5th generation Reactive;Licensed Cotton Towels;35127;connect Legacy systemic;2020-05-11;Iranian Rial Austria Agent
